,Reviews
2330,getting new cell phones months ago decided try wireless charging function bought two expensive sleek stylish wireless chargers well reviewed one bought wife works well enough mine flakey sometimes works sometimes usually end rebooting blame thing kicks thought would try one happy report happy fancy like previous charger indicator lights show level charge phone bells whistles useless gizmo work besides phone lets know far charging missing feature style charger function first foremost come several different colors like set phone upright lay horizontal best part thing quick blister far dependable fast update review changes could spend lot charger getting pure functionality little beauty right
2331,love color display look charger opposed laying table note ultra makes nervous small bump make fall stand wish bottom egde bit wider secure hold phone hangs love ease able set starts charging
2332,deducted star originally bought s22 ultra set phone cradle cover without cover works great works great really ment larger phones cases
2333,magnetic hold works well keep samsung galaxy s20 place feel like phone fall tapping alarm charger bit longer hold length phone would giving stars find fantastic usb wall charger included correct amperage fast charging key item missing unknown brands kudos including great deal
2334,use wireless charger two extra places charging apple airpods apple watch looking charger accommodate phone charge without extras son two items bit challenging excited find charger actually better expected sturdy simple design look sleek cool also performs well like put stand horizontally vertically charges either way horizontal presentation allows viewing movies comes everything needed including often left adapter plugs wall definitely great find ps charges well case
2335,charger job able hold large phone like samsung galaxy note s20 plus protective case using supplied wall adapter able quick charge even phone case able fully charge phone hours par samsung quick wireless chargers love slim metal look quality feels solid cooling fan like samsung wireless chargers metal frame acts like giant heat sink stays fairly cool touch able charge phone either vertical horizontal nice want watch videos charges happy wireless charger
2336,wireless charging stand deceptive — looks bare bones really well designed compact package iphone pro max plus pelican magsafe case fits securely either portrait landscape orientation easily positioned pair charging coil positioning prongs rubberized worries scratching phone case following minimalist design charge indicator lights phone display want use nightstand charger light small footprint moving parts easy find space tuck bag traveling completing package ac adapter usb c cable included simple yet elegant device job well
2337,received intoval wireless charing stand y3 last friday amazon say thing amazing well constructed aluminum giving premium feal charge phone either standing sideways also comes wall charger usb plugs charger usb c plug stand gun grey one matches really well macbook pro fast charging stand output rating 5w 5w 10w 15w run issues charging iphone pro max thing note cord comes unit little smaller side need longer cord may want order longer usb cable one comes feet long fence purchasing pull trigger sorry
2338,wireless charging stand exactly looking desk office stylish thing look job came wall charger piece go charging cord convenient like charges phone either vertical horizontal position wide enough charge galaxy s22 phone slim case wish came true black color like purchase another
2339,quality made aluminum phone charging stand got silver one perfect size iphone pro otterbox cover narrow take lot counter space charged phone hour minutes nice feature came ready use included charger cord electric outlet plug rooting around adapter make work phone actually sits little higher charger found weight phone seems keep stabilized said nice product
2340,first charges fast basic charger husband using work personal cell work cell personal phone protective rhinoshield case work phone pictured otterbox charge work phone case doesn’t fit vertically unless balance like pictured ordered specifically personal phone fits inside perfectly fine charges orientations cases
2341,item arrived looking like picture ordered put kitchen counter meet couple needs wanted something hold phone upright cooking following recipe also wanted able charge always seem find low power need unboxed plugged good go holds charges iphone pro without issue vertical horizontal position bonus far completely met needs
2342,really like charger many reasons single formed piece metal hinges collapse fail unexpectedly plastic crack design meant portable though metal rigid also thin gives sleek unobtrusive look green color nice shiny metallic finish charging port generic usb c goes straight back allowing hide cable main negative width limited want set phone vertically 85mm measured maximum width galaxy s20 thin case fits room spare also place phone horizontally looks bit awkward
2343,used two nights seems charge well sturdy cell phone fall stand given extra room bedside table color pink gorgeous
2344,works great phone able charge without taking protective case like set upwards sideways perfect size nightstand charges fast
2345,super easy install holds phone either way even otterbox case charge thicker case like otterbox won’t sit vertically set horizontally come ac block plug great
2346,media could loaded charging phone holder made metal great quality surprisingly happy i’ll never buy others something happens i’ll buy another one that’s good quality says i’m saying i’m vine reviewer i’ve using week awesome put phone upright put phone sideways holds ways great value durable sturdy also
2347,love iphone apple watch charger drop watch watch charger connects goes phone charger missed connections charging stand takes less room table cords great charging station
2348,cute great pink color seems like great product thing flippin slow charge really inexcusable daughter put phone iphone pro max listed compatible device hours later consistent experience charger absolutely unacceptable charger charge phone overnight frankly understand positive reviews experience thing essentially phone stand recommend
2349,thing find complain lack lip edge keep phone sliding front trying tap buttons sits bracket back think notices rubbery pads work well enough charges quickly love two orientations
2350,best phone ever
2351,great product
2352,got seems nice phone
2353,awesome
2354,nice phone
2355,couple updatesbetter camera great crease still visible mean come surly design screen could improved aspect ratio feels wrongbattery life betterbut overall worth upgrade paying paying flip screen nothing
2356,like phone dex dex allows use samsung phone hdmi inputs monitors tv screens would primary phone needs flip kind gimicky imo like use rear camera selfies folded flip mode takes good photos backup photos usb c memory stick needed memory card option although 256k internal memory awaiting high quality skin front screen also rear order amz got phone two year added line carrier monthly rate plan like phone payment brainer complain price wa h sure worth 1k retail better primary phones imo purchased great amazon padded holster type case loops belt padded would highly recommend also got case protects rear hinge texture makes less slippery yet protected falls closed ideally phone leave grip use disliking nosy permissions disabled certain apps like camera come samsung google etc stop spying us selling souls strangers prefer sony xperia mark photos itrusions sony imo makes highest quality phones perhaps trailing software area compared samapple
2357,got mine verizon overall great phone know people touched one want talk
2358,title suggests experience samsung galaxy z flip4 ideal like people experienced short battery life despite larger battery claims power efficient chipset latest iteration flip series least experienced started randomly power cycling straight turning battery charge remaining usb port started rejecting cables anything charging even though worked fine samsung galaxy s20 fe replaced flip4 still worked devices data transfer happened within two weeks receiving device things genuinely like flip ability start stop playback audiobooks without open device turn main screen brilliant leave desk work bluetooth earbuds stop start moment hassles new chipset much greater ability maintain stable 5g data connection previous phone vital ability fold use camera feels great use shame bad experience hardware might change mind future right would recommend phone far expensive shortcomings apparently delicate
2359,reason screen fold made soft plastic put another layer slightly harder plastic top base screen protect scratches harder screen protector layer folded months starts peel crack would fine samsung possible way replace crease need special machine reapply new protector handful places united states necessary equipment live cities us luck contact fix might let ship days get repaired due common theyve recently stopped acknowledging damage design problem longer covered warranty pay like get replaced every months phone days really frustrating otherwise great phone ruined terrible support samsung wish never bought
2360,best phone ever
2361,great product
2362,got seems nice phone
2363,awesome
2364,nice phone
2365,couple updatesbetter camera great crease still visible mean come surly design screen could improved aspect ratio feels wrongbattery life betterbut overall worth upgrade paying paying flip screen nothing
2366,like phone dex dex allows use samsung phone hdmi inputs monitors tv screens would primary phone needs flip kind gimicky imo like use rear camera selfies folded flip mode takes good photos backup photos usb c memory stick needed memory card option although 256k internal memory awaiting high quality skin front screen also rear order amz got phone two year added line carrier monthly rate plan like phone payment brainer complain price wa h sure worth 1k retail better primary phones imo purchased great amazon padded holster type case loops belt padded would highly recommend also got case protects rear hinge texture makes less slippery yet protected falls closed ideally phone leave grip use disliking nosy permissions disabled certain apps like camera come samsung google etc stop spying us selling souls strangers prefer sony xperia mark photos itrusions sony imo makes highest quality phones perhaps trailing software area compared samapple
2367,got mine verizon overall great phone know people touched one want talk
2368,title suggests experience samsung galaxy z flip4 ideal like people experienced short battery life despite larger battery claims power efficient chipset latest iteration flip series least experienced started randomly power cycling straight turning battery charge remaining usb port started rejecting cables anything charging even though worked fine samsung galaxy s20 fe replaced flip4 still worked devices data transfer happened within two weeks receiving device things genuinely like flip ability start stop playback audiobooks without open device turn main screen brilliant leave desk work bluetooth earbuds stop start moment hassles new chipset much greater ability maintain stable 5g data connection previous phone vital ability fold use camera feels great use shame bad experience hardware might change mind future right would recommend phone far expensive shortcomings apparently delicate
2369,reason screen fold made soft plastic put another layer slightly harder plastic top base screen protect scratches harder screen protector layer folded months starts peel crack would fine samsung possible way replace crease need special machine reapply new protector handful places united states necessary equipment live cities us luck contact fix might let ship days get repaired due common theyve recently stopped acknowledging damage design problem longer covered warranty pay like get replaced every months phone days really frustrating otherwise great phone ruined terrible support samsung wish never bought
2370,like really big fan s10 replaced sometimes big screen pen really handy like play games sort nifty stuff xbox controllers pc phone combined interested battery drains kinda fast big screen watching videos etc issues bend middle people say even see bs ing notice brightness huge deal looking something mono colored dark pretty obvious still phone opens tablet pretty cool pretty tech savvy still know get whole dual left right screen thing also certain apps close reset unfold ig watching video think wanna see bigger unfold gone probably never find
2371,device perfect using even short never go back would great competition space ask less bulk divot middle sharp break crease would preferred maybe built pen like galaxy note
2372,reviews made wary making big purchase experience awesome last 2weeks bought case camera lens cover stylus phone compared old iphone camera quality great voice clarity better battery life adequate medium user battery left end day charging fast modern tech rugged hence case cash spend definitely buy stars
2373,funcionaba muy bien pero después de unos updates el teléfono empezó laguearse usar mucha memoria lo compre prácticamente para jugar runescape3 ahora se laguea solo con moverte la primera vez que veo que un teléfono caro pueda mover ese juego lo recomiendo mejor compren un s22 ultra la tablet s8 ultra seria mejor inversión sin tanto slowdown worked well updates phone started lag using lot memory bought practically play runescape3 lags moving first time see expensive phone move game recommend better buy s22 ultra s8 ultra tablet would better investment without much slowdown
2374,foldable phones disposable take word google stress fractures factory installed screen protectors falling months basically folding screen fail less year carrier says need contact samsung offer let send phone repair indefinitely drive service center spend day fix sell garbage product know fail intentionally give poor support hoping give stay away
2375,absolute fan samsung failed folds got overwhelmed returns defaulted drop ball customers lame excuses customers screen misused pealing average folds last 3month
2376,like really big fan s10 replaced sometimes big screen pen really handy like play games sort nifty stuff xbox controllers pc phone combined interested battery drains kinda fast big screen watching videos etc issues bend middle people say even see bs ing notice brightness huge deal looking something mono colored dark pretty obvious still phone opens tablet pretty cool pretty tech savvy still know get whole dual left right screen thing also certain apps close reset unfold ig watching video think wanna see bigger unfold gone probably never find
2377,device perfect using even short never go back would great competition space ask less bulk divot middle sharp break crease would preferred maybe built pen like galaxy note
2378,reviews made wary making big purchase experience awesome last 2weeks bought case camera lens cover stylus phone compared old iphone camera quality great voice clarity better battery life adequate medium user battery left end day charging fast modern tech rugged hence case cash spend definitely buy stars
2379,funcionaba muy bien pero después de unos updates el teléfono empezó laguearse usar mucha memoria lo compre prácticamente para jugar runescape3 ahora se laguea solo con moverte la primera vez que veo que un teléfono caro pueda mover ese juego lo recomiendo mejor compren un s22 ultra la tablet s8 ultra seria mejor inversión sin tanto slowdown worked well updates phone started lag using lot memory bought practically play runescape3 lags moving first time see expensive phone move game recommend better buy s22 ultra s8 ultra tablet would better investment without much slowdown
2380,foldable phones disposable take word google stress fractures factory installed screen protectors falling months basically folding screen fail less year carrier says need contact samsung offer let send phone repair indefinitely drive service center spend day fix sell garbage product know fail intentionally give poor support hoping give stay away
2381,absolute fan samsung failed folds got overwhelmed returns defaulted drop ball customers lame excuses customers screen misused pealing average folds last 3month
2382,looking mount could film without somebody works perfect stand want mount object
2383,love thing sony zv10 since camera smaller end makes feel secure holding also gives distance need selfies since camera crops little video
2384,daily youtube vloggers use iphones gopros every day i’ve tried ruined many many many tripods legs always break hunt durable one saw lightning deal mini version bought others broke course far best tripod we’ve ever used purchased five fotopro tripods lol one keep car phones one gopros dumpster divers love thick handheld monopod strong excellent grip tripod washable nonporous easy use doesn’t slip pocket much stable tripod we’ve tried love recommend enough yet try remote don’t use one love tripod
2385,love small worked great asia trip fitted gopro camera pandemic used phone calls also used microphone theater works perfectly without moving attached place really recommend
2386,little tripod life saver stands perfect level laptop use dslr webcam zoom meetings like legs bend wrap around chairs etc make work pinch great works phone canon camera deducted star wish way keep legs stable move camera side side follow moving object also legs stable part they’re perfectly positioned weight camera tip camera almost crashed hard ground filming seminar thankfully caught seminar interrupted overall though pleased product would recommend
2387,needed way shoot xxx looking angel use top bed post using camcorder works perfect
2388,i’m obsessed little tripod skeptical buying… one wants put equipment tripod breaks i’m soo pleased sturdy strong little guy use tripod literally anywhere favorite tripod ever buy
2389,el tripode esta muy bonito se nota que es el diseño original por la calidad del materia raya las superficies es suave al tacto para los niños esta muy bien ya que difícilmente se golpean al agarrarlo por su tamaño es muy versatil cabe en cualquier lugar se puede usar muy bien en la cama en la cocina la hora de cocinar lo único negativo que tiene es que esta diseñado para colocar el celular en modo landscape sea acostado si deseas colocarlo de foma vertical como es lo natural al momento de usar el teléfono debes retorcer las patas para obtener esa posición fin de cuentas si se logra pero el tripode queda en una posición extraña ocupando mas espacio del normal es lo único que cambiaría quizás si agregaran una cabeza para colocarlo vertical sería mejor yo descubierto como hacerlo te lo recomiendo
2390,buy extremely cheap screws stay tight holds phone landscape mode portrait mode try sell ufo design legs even move directions might good amateur novice photographers sustain long term camera use shot thing holds fence post railing keeps phone upright let alone dslr camera pay use
2391,use time great size throw backpack hike purse day it’s easy set wraps around anything easy clean mostly use phone holds big ol camera definitely great purchase happy don’t interject ask people take photos us time know i’m giving phone stranger pandemic great purchase
2392,looking mount could film without somebody works perfect stand want mount object
2393,love thing sony zv10 since camera smaller end makes feel secure holding also gives distance need selfies since camera crops little video
2394,daily youtube vloggers use iphones gopros every day i’ve tried ruined many many many tripods legs always break hunt durable one saw lightning deal mini version bought others broke course far best tripod we’ve ever used purchased five fotopro tripods lol one keep car phones one gopros dumpster divers love thick handheld monopod strong excellent grip tripod washable nonporous easy use doesn’t slip pocket much stable tripod we’ve tried love recommend enough yet try remote don’t use one love tripod
2395,love small worked great asia trip fitted gopro camera pandemic used phone calls also used microphone theater works perfectly without moving attached place really recommend
2396,little tripod life saver stands perfect level laptop use dslr webcam zoom meetings like legs bend wrap around chairs etc make work pinch great works phone canon camera deducted star wish way keep legs stable move camera side side follow moving object also legs stable part they’re perfectly positioned weight camera tip camera almost crashed hard ground filming seminar thankfully caught seminar interrupted overall though pleased product would recommend
2397,needed way shoot xxx looking angel use top bed post using camcorder works perfect
2398,i’m obsessed little tripod skeptical buying… one wants put equipment tripod breaks i’m soo pleased sturdy strong little guy use tripod literally anywhere favorite tripod ever buy
2399,el tripode esta muy bonito se nota que es el diseño original por la calidad del materia raya las superficies es suave al tacto para los niños esta muy bien ya que difícilmente se golpean al agarrarlo por su tamaño es muy versatil cabe en cualquier lugar se puede usar muy bien en la cama en la cocina la hora de cocinar lo único negativo que tiene es que esta diseñado para colocar el celular en modo landscape sea acostado si deseas colocarlo de foma vertical como es lo natural al momento de usar el teléfono debes retorcer las patas para obtener esa posición fin de cuentas si se logra pero el tripode queda en una posición extraña ocupando mas espacio del normal es lo único que cambiaría quizás si agregaran una cabeza para colocarlo vertical sería mejor yo descubierto como hacerlo te lo recomiendo
2400,buy extremely cheap screws stay tight holds phone landscape mode portrait mode try sell ufo design legs even move directions might good amateur novice photographers sustain long term camera use shot thing holds fence post railing keeps phone upright let alone dslr camera pay use
2401,use time great size throw backpack hike purse day it’s easy set wraps around anything easy clean mostly use phone holds big ol camera definitely great purchase happy don’t interject ask people take photos us time know i’m giving phone stranger pandemic great purchase
2402,everything seems good quality slightly worried folding action arms holding pull every hard get arms bend fine lot torque put base arms would fine base fixed simply pulling static anchor frame however hinge allowing normal folding tripod movement also unsure needed could bend arms bit get normal tripod configuration worried hinge anchor frame force pulling legs bend much greater force required simply pull legs away frame form normal tripod eventually weaken break hinge
2403,bought stand sony a5100 streaming also used recording videos sort handle flexible legs really let decide want set easy straighten lost durability time almost wish tripod legs little longer overall great product
2404,purchased item used sony alpha camera also came phone holder piece didn’t think would use however came extremely handy long flights use flight entertainment using phone movies product versatile molded cup holder car navigation handsfree uses recently used tripod camera grand canyon formed around tree branch take family photo molds great around railings similar textures handsfree photos highly recommend tripod purchasing second son frequently borrows many uses ex watching videos bubble baths price great material durable love sure haven’t even used it’s full potential yet
2405,exactly looking allow attach gopro almost anything
2406,purchased week go matrial great seems good quality weight good picked use realizing attachment piece compatible portrait mood phone frankly seeing way compatible cameras dslr digital ones disappointed specially whole piece shown photos video expected receive can’t send back traveling country couple days search purchase extra piece job
2407,use tripod film youtube videos videos usually sit talk camera type videos either tripod sitting surface like counter table wrap tripod legs around ring light stand also used vlogging lightweight yet sturdy enough hold sony camera love legs flexible never issue finding way prop tripod film interested check youtube channel tara sapp use tripod film videos
2408,great product limitations tripod sturdy malleable difficult balance camera times getting legs straight difficult ok recommend buying product otherwise would go traditional tripod easier prop mount camera
2409,ok tripod big minus swivel ball head difficult adjust angles shooting better options market buy one recommend one 3in1 action camera dslr phone portable flexible mini travel tripod camcorder projector tabletop stand mount canon iphone webcam youtuber reviewer one recommend much versatile better thank later
2410,like good camera flexible
2411,review ufo set love tripod it’s well made portable dynamic it’s perfect travel don’t want bring big heavy tripod use point shoot camera mobile phone action cam even holds dslrs pinch held d700 full frame dslr dont expect use big camera time manfrotto i’ve tried similar product looks almost ufo ’s legs hold better feel like last long time legs also great feeling rubber grip used gimbal grip taking videos love adjustable head feet rubber nothing fall break like brands mini flexible tripod get
2412,since ton news social media social videos want something versatile hold phone camera depending working gadget ad photos later showing definitely media field might want ad tool bag love taking photos want hold firmly operate phone remotely great table top interviews desk interviews hold camera ease stumbled across looking something hold new cameras great buy
2413,bought skeptical gave try fan tripods even though know need one huge reason hate carrying huge things around may even need day one flexible like received soon found easy roll legs fit lens pouch inside bag don’t carry huge tripod around yes know won’t job everything u need something won’t take space stand sturdy versatile definitely help legs snap place stay
2414,received item mail today ordered specifically use sony a6400 want able set tripod unique ways capture footage working creating metalsmith jewelry designer tripod sturdy unique accessible anything want highly recommend
2415,comes handheld tri pods skeptical one last year cheap plastic snapped month got tri pod however top notch easily bend way need grip strength absolute beast would recommend
2416,looked gorilla pod find general use nots break decided look style firm grip holds phone decently sturdy enough gimbal perfect go months love little guy perfect vlogging makes playing pokémon go watching youtube walking dog baby easier
2417,new vlogger tripod perfect carrying camera around city seems sturdy worried camera dropping works multiple cameras mine nikonb500 long tripod hole bottom also able prop camera multiple places due rubber like material flexible legs would highly recommend
2418,bought traveling hawaii tell quality amazing originally wanted buy gorillapod tell good gorillapod
2419,love wrap around tree branch old fence post bends perfectly taken perfect selfies group photos without find flat surface wish years ago
2420,excellent flexible tripod use daily videos wrapped thing around whatever imagine i’ve owned still works great switched super expensive joby one knuckles haven’t disappointed highly recommend
2421,tripod work needs clip hold phone preset widths it’s tight fit phone swivel head mount sits also spin enough give full vertical set missed return window guess it’s going goodwill
2422,light easy carry quick set included remote makes easy use used one hike performed well held phones securely one one big phablet style phones allowed us get pics would able get without found remote needs woken reconnect w phone time pictures e g picture spot hike picture spot b reconnect reliably legs easy bend firm enough hold position securely tripod enough adjustments easy get picture level oriented way want recommended
2423,recently took trip grand canyon really like product arms hold tightly it’s easy get back straight
2424,okay comprehensive look tripod note plastic flexible foam rubber it’s heavy cameras want tripod take pictures smartphone action camera really good option would given stars way provided head holds phone weak careful break torque tension screw secure phone legs flexible feel sturdy actually like gorilla pod flexible foam rubber grab surfaces better
2425,far good good size flexible easy work really dislikes great size limitations use compared normal standard height tripod
2426,encanto ligero flexible igual la foto
2427,flexible tripod useful came time film short film everything turned great wish legs tripod bit tougher everyday use tripod works fine one better types flexible tripods market
2428,phone pretty big case dimensions phone holder spont holds big ass phone metal case perfectly highly recommend zoom meetings streaming go phone
2429,bought dslr husband loves much uses hold cellphone time likes angle way wants
2430,looking product use iphone x specifically face time flexible tripod fit need perfectly also looked others chose one fotopro looked durable legs flexible also rubber coated vs foam covering saw others makes feel last long time degree movement attachment point great use phone landscape well portrait mode ability attach tripod practically anything flexible legs
2431,small would liked awesome holds nikon coolpix b without issues last tri pod would tip weight compact camera flexible wraps around virtually anything sturdy well built pleased purchase
2432,fantastic customer service carol fotopro actually ordered wrong product meant order tripod came adapter gopro ordered basic model instead phone adapter fotopro sent new one correct adapter extra charge use tripod recent work trip works well used iphone gopro easy use legs easily adjusted stay place seems like highly durable already used multiple times salt water
2433,lightweight easy handle grip every type surface stand latch things perfectly fine really good easy use would definitely recommend however dont know red wheel thought supposed move doesnt also legs bendable like could legit move type way put back together fine
2434,nice adjustable nobs legs needed shift bit see thats problem make hard anything
2435,little tripod great needs it’s right size making youtube videos actually works really well selfie stick love legs waterproof bendable haven’t tried extreme posing functions yet appears tripod hold lot versatile wish tiny bit taller maybe inches that’s complaint
2436,decent product well made works supposed one metal screw attach camera good one plastic lasted one day threw mini pod ok versatile
2437,perfect handheld portable tripod iphone stand adjusted shape wrap around object hold thing won’t hold phone straight use horizontally
2438,perfect cameras
2439,like put canon rebel t6 fall tried putting upside phone holder bit weird holds well like bend tripod legs anyway u want bit top heavy u camera
2440,really debated back forth quite different handheld tripods needed something desk top daily needs decided go trend bought brand say really like everything would keep mind gifting camera buds
2441,works great prefer gorilla pod design since ball joints could pop hinges legs fold bit loose usually problem used many times take pictures groups using cell phone remote works really well also used several times speedlite quickly set low angle shot
2442,works great hold dslr rode videomic issue thread seems screw past even though it’s tight “could” tighter makes feel like could break tight it’s solid unit holds lots weight looking cheaper alternative joby line seems
2443,tripod sturdy easily able hold dslr without bending quite comfortable hold hand planning vlog recommend product anyone needing reliable sturdy tripod
2444,one legs broke made soft mental core joint recommend product
2445,bad red plastic part handle feel little cheap times brittle even repeated heavy use everything seems fine grippy legs actually pain butt pull backpack started putting mesh bag put away easier good everything else really great portable option tons versatility heads work great great price point
2446,tripod move like traditional one get better
2447,used fotopro ufo2 like ball head sometimes sustain mid weight mirrorless cameras gx85 really like basic tripod without ball head rather ufo2 mounting another sturdy mini ball head harwerrel tripod mini ball head tripod becomes perfect flexible tripod ever used much versatile sturdier gorilla pod 3k costs combination made
2448,wanted update review product unfortunately broke recording emailed company already sending brand new one replace broken one days initial email overall tripod everything wanted incredibly durable overall incredibly satisfied customer service well tripod
2449,great holding canon camera highly recommend anyone looking tripod it’s beyond it’s worth it’s lot better tripods get best buy way priced it’s great recording car videos
2450,great days got use puppy got hold chewed one feet pick money would recommend anyone looking good mini tripod right
2451,like others competitor styles one fits needs much better really wanted one easy hold sony a7iii attached fits bill perfectly also never concerned camera risk falling
2452,tripods however wanted flexible model sure much would use got well priced amazon recommended model performs everything supposed well intend use one lot would recommend getting model better smartphone mount rotating ball mount flexibility need good basic flexible tripod beat price
2453,use shoot iphone pretty consistently trying use even point shoot camera legs hold well perfect iphone something sturdier small camera best
2454,use stand hang baby camera mirror edge bedroom standard screw mount baby monitor camera attaches becomes versatile wherever go basic hook ledge becomes place stand hang hug tri pod point baby monitor little one
2455,skeptical tripod stable great tool video shake video holding
2456,oh goodness thought good true husband purchased v day clue knew opened box nikon d7100 fit without issue indeed hold without problem also came small attachment phones also great wonderful super easy use sturdy great present
2457,second time lost last phone clip time around came phone clip didn’t pivot could use multiple ways plan purchasing another want hear company supplier change phone clip
2458,received today absolutely love quality great feels high end highly recommend product it’s easy use making enjoyable definitely buying another one soon back
2459,fantastic tripod especially traveling sony camera bit heavy even tripod support year travel many countries zero problems easily fits carryon luggage
2460,using month set camera desk recording handheld monopod walking grip comfortable although take getting used tripod flexed curve otherwise
2461,put canon eos r along 100mm f lens rated grams combination camera lens pushing still held fine taking italy couple weeks paired tiny ball head even added weight ball head camera lens stable
2462,like size fact attach anywhere steady attached attached bleachers tended shake little noticeable recordings
2463,tripod easy use handy phone could put table move directions want
2464,pretty good knob holds still sometimes loosens alot better
2465,best part many great things tripod grip legs pleasing hold hand camera attached screw attachment tight legs strong using sony a6000 kit lens sturdy wait wrap around get hard get shots
2466,like wraps around things sturdy enough use stick wish longer bet elasticity legs still looking forward using
2467,tripod works described easy use
2468,use every day handle dslr it’s go piece gear leave home makes great tripod
2469,great price works awesome amazing substitute expensive stuff also durable u can’t beat price
2470,use hold camcorder attempts vlog versatile attach phone camera camcorder want unscrew phone attachment screw onto larger tripod 😁
2471,works great multi device tripod selfie stick camera stand light easy carry wraps around items picture taking flat surfaces legs bendable use uneven surfaces works cell phone gopro large camera
2472,fully experienced yet due lockdown came delivered fine much sturdier tripod last year extremely flexible comes phone clamp
2473,like flexibility different camera angles
2474,wish legs easily put position never way good product
2475,good buy second holds outdoor cams secure beautifully designed crafted thanks
2476,super easy use camera phone like small light enough carry around highly recommend
2477,received mini tripod really enjoyed adapter cell phone well works dslrs mirror less cams attach limbs trees hand railings use regular tripod elevated surfaces use imagination go take pictures love product bought youtube recommendation
2478,camera mount cheap plastic wide enough hold phone case designers continue make ridiculous narrow camera holder’s cannot hold iphone case around people cases phones yet keep making camera mounts one uses case sturdy protective case unusual shape angles flimsy camera mount skinny rubber grips completely incapable holding tripod
2479,loving thus far purchased two one fir grandson
2480,opened tripod pice plastic fallen broken spected remote also doesn’t product quality really nice flexible light holder phone awesome ever i’m disappointed bout moment opened brokenif beggening cameras photos think small size medium really big small one perfect option portable go everywhere
2481,great product
2482,bad product works described fits little zonko action camera well iphone phone case little tight mount overall wiggle going wrap around stuff works great bad selfie stick pinch either
2483,love tripod works good enough though i’ve months it’s really good even water ocean plus work good heat humanity
2484,took vacation perfect size traveling fit purse flexibility tripod allowed take photos videos almost angle durable made quality material also comes phone clip convenient love
2485,says well
2486,easy set use additional bracket phone camera bonus got great pictures northern lights rolling ship
2487,mounted nikon d5600 wordks great would use outdoor windy conditions though think excellent phone accesory dsrl caution latter
2488,love design capabilities fotopro tripod going companion working hours even though taking videos photos continue misplace phone worry see phone far away get lost anymore love device
2489,bought daughter photography loved versatile taken anywhere wrapped around anything also used tripod stand perfect gift
2490,perfect blogging selfies etc i’ve used sooo many different things bendy legs like octopus legs hang anything need tripod works great also folds fits bag well
2491,love product still using light grip good material used good
2492,like build 3d puzzles record finished product smartphone tripod allows free hands show model build it’s perfect light easy use portable
2493,like sturdiness item fact place record youtube videos perfect spot without falling use record youtube videos
2494,good
2495,bends easy rubber grip legs nice phone holder attachment plus well
2496,loved use almost anything tripod flexible shape angles need comes recording videos
2497,versatility
2498,im using product hold camera record youtube video tripod one best
2499,exactly needed much better old one easy use heavy love would totally recommend
2500,tried using remote yet stand working g great wish better swivel feature head think expensive version
2501,decent tripod nothing special
2502,really love tripod love legs adjustable easy great quality product use time
2503,oh gosh must best i’ve spent camera equipment love small bring anywhere go love handles grip mount surface simply love using almost everyday
2504,versatile features enable attain stable platform almost situation strong secure grip almost surface still works well standard tripod bit heavy side
2505,works great exactly described months took europe used gopro canon m50 worked great highly recommend
2506,perfect size lightweight use rear camera cell phone works wonders definitely comes handy get one disappointed
2507,great unique situations like wrapping legs around post ladder
2508,love tested last week phone easy use wait try new camera comes would definitely recommend youtuber vlogger influencer
2509,little week see expect another similar tripod couple years chose get one little less bulky
2510,u absolutely love tripod omg looking perfect one hold new canon eos m100 beyond expectations happy purchase 😊☺️✨
2511,purchased grandson college loved
2512,grandson uses tube
2513,media could loaded leg broke base really sad thing awesome
2514,easy use
2515,steady strong tripod work prefect everything phone action camara canon m50
2516,excellent tripod light weight stable tried couple times think little tripod last long time iphone plus heavy duty case fit tripod without problem
2517,functional tripod bought secondary tripod last trip barely use main tripod easy quick adjust could place uneven surfaces holding canon 80d lens quite well
2518,great product
2519,easy use small camera
2520,light weight durable really worth like different ones none compare good one turned
2521,old sony a7 work great love legs instead bumpy legs similar tripods super sturdy wrap arounds however tried twisting legs together like pic ended breaking piece
2522,tripod wonderful sturdy made quality products works vlogging
2523,pretty light compact versatile little tripod works well feels stable wrapped around objects make stand used smart phone dslr camera
2524,nice mine never came phone mount dona whole lot stuff phone would nice came
2525,sturdy holds even heaviest cameras bend whatever shape need take beating
2526,super flexible sturdy love black red color design attaches nearly anywhere
2527,got able wrap around cruise railings capture footage got back cruise loved using filming cruise worked really really well
2528,finally able hang camera shower pointing rest room longer get pranked
2529,looking
2530,i’m used months happy wrap around anything fit holds well time tell long lasts overly pleased far
2531,fantastic product note others want put heavy camera lens nikon d750 nikkor 35f4 take
2532,tripod functional well versatile
2533,compact feels sturdy easy use good grip used questionable terrain managed stay put
2534,nice grip phone used standing table hanging shelf hand worked well cases also standard camera mount
2535,time i’m shooting take folding tripod ever since bought i’ve leaving larger tripods home shoot canon 77d it’s plenty support
2536,you’d think i’d dropped didn’t even propped something hard took amazon bag gymnastic mats proceeded move legs j position order shoot form stretch plastic piece leg joint immediately snapped piece crap didn’t even try make legs go u j shape thing snapped right joint sure still works certainly don’t trust tripod hold together long pieces break right box otherwise seems versatile enough legs flexible
2537,loved first much ordered second one added joby ball head ufo legs perfect mini tripod smaller cameras
2538,expect last heavy use especially careful legs legs may survive base plastic definitely break quickly would still recommend price however would caution roughing
2539,item received promptly worked needed thank
2540,boy glad didnt use fortune gorillapod thing awesome sturdier anything much expensive love plan getting models series
