,Reviews
3010,"
I like that it wraps around things and is sturdy enough to use as a stick.  I wish it was about 4-6"" longer but bet it couldn't with the elasticity of the legs.  Still, looking forward to using it.
"
3011,"
Tripod works as described, easy to use.
"
3012,"
I use this every day as a handle for my dslr. It’s my go to piece of gear I do not leave home with out. And it makes a great tripod
"
3013,"
Great price and works awesome. Amazing substitute for the expensive stuff. Also very durable. U can’t beat this for the price
"
3014,"
I use this to hold my camcorder for my attempts to vlog. Its versatile because it's you can attach your phone or a camera/camcorder. And if you want you can unscrew the phone attachment and screw it onto a larger tripod 😁
"
3015,"
Works great as a multi-device. Tripod, selfie stick, camera stand. Very light and easy to carry. Wraps around items for picture taking when there are no flat surfaces. Legs are bendable to use on uneven surfaces. Works with cell phone, GoPro or my large camera.
"
3016,"
I haven't FULLY experienced it yet (due to lockdown) but it came delivered just fine, and is much sturdier than the tripod I had last year. It's extremely flexible and comes with a phone clamp!
"
3017,"
I like the flexibility for different camera angles.
"
3018,"
Wish the legs were more easily put into position but they can never be the same way more than once. Other than that, good product.
"
3019,"
So good I had to buy a second.  Holds my outdoor cams 100% secure.Beautifully designed and crafted.Thanks!
"
3020,"
Super easy to use for both my camera and my phone. I like that it is small and light enough to carry around. Highly recommend!
"
3021,"
I just received this mini tripod and have really enjoyed it. It has an adapter for your cell phone as well as works for dslrs and mirror less cams. You can attach to limbs of trees, hand railings, use as regular tripod, on elevated surfaces and so on, use your imagination and go take some pictures. Love this product and bought because of a YouTube recommendation.
"
3022,"
The camera mount is cheap plastic that is not wide enough to hold any phone in a case. Why do these designers continue to make these ridiculous narrow camera holder’s that cannot hold any iPhone that has a case around it? 99% of people have cases on their phones yet they keep making camera mounts as if no one uses a case! And if you have a sturdy protective case that has any unusual shape or angles to it, this flimsy camera mount with skinny rubber grips is completely incapable of holding it on the tripod.
"
3023,"
Loving it thus far.  I purchased two.  One fir me and other for my grandson.
"
3024,"
I just opened the tripod and a pice of plastic fallen down was broken and I spected a remote and also it doesn’t have it, the product quality is really nice very flexible is light and the holder to your phone is awesome. How ever I’m disappointed bout the moment I opened and was brokenIf you are beggening with cameras and photos think about the small size because I have the medium and is really big, the small one is a perfect option. Portable and you can go everywhere with it!
"
3025,"
Great product!
"
3026,"
Not bad at all. The product works as described. It fits my little Zonko action camera as well as my iPhone. My phone case is a little tight for the mount, but, overall, I can wiggle it in there. If you are going to wrap it around stuff, it works great. Not bad for a selfie stick in a pinch either.
"
3027,"
I love this tripod. It works very good. Enough though I’ve had for about 3 to 4 months......it’s really good. Even under water and in the ocean. Plus it work very good in the heat and the humanity.
"
3028,"
I took this on vacation and it was the perfect size for traveling, I can fit it in my purse. The flexibility of the tripod allowed me to take photos and videos at almost any angle. It is durable and made of quality material. It also comes with a phone clip which is very convenient. I love it!
"
3029,"
It does what it says it will do and does it well
"
3030,"
This was easy to set up and use and the additional bracket for a phone camera was a bonus. We got some great pictures of the Northern Lights from a rolling ship.
"
3031,"
I have mounted my nikon d5600 on it and it wordks great, I would not use it outdoor in windy conditions though. I think its excellent as a phone accesory and for a dsrl too, but with caution for the latter.
"
3032,"
Love the design and the capabilities.  Fotopro Tripod is going to be my companion during my working hours even though I will not be taking videos or photos.  If you continue to misplace your phone, worry no more.  I can see my phone from far away so it does not get lost anymore.  Love this device.
"
3033,"
Bought this for my daughter who is into photography. She loved it. it is so versatile and can be taken anywhere and wrapped around anything and also can be used as a tripod stand. Perfect gift!!!!!!!
"
3034,"
Perfect for blogging, selfies, etc. I’ve used it for sooo many different things. The bendy legs are like octopus legs and can hang only anything! Then, if you need it to be a tripod it works great too!It also folds up and fits in my bag well!
"
3035,"
I just love this product. Still using. Light and Grip is good. Material used is good.
"
3036,"
I like to build 3D puzzles and then record the finished product on my smartphone. This tripod allows me to free up both my hands as I show off my model build. It’s perfect. Very light easy to use and very portable.
"
3037,"
I like the sturdiness of the item and the fact that we can place it to record our YouTube videos in the perfect spot without it falling. We use it to record our YouTube videos.
"
3038,"
Good
"
3039,"
Bends very easy.  Rubber grip on the legs is very nice.  Phone holder attachment is a plus as well.
"
3040,"
I loved how you can use it for almost anything. The tripod is very flexible, so you can shape it for any angles you need when it comes to recording videos.
"
3041,"
Versatility
"
3042,"
Im using this product to hold my camera while I record for my youtube video, and this tripod is one of the best!
"
3043,"
Exactly what I needed. So much better than my old one.  Easy to use and not too heavy.  Love it.  Would totally recommend it.
"
3044,"
Haven't tried using the remote yet.  Stand is working g great! Wish it had a better swivel feature on the head. I think the more expensive version does.
"
3045,"
It's a decent tripod. nothing special
"
3046,"
I really love this tripod, I love that the legs of it are so adjustable and its easy to do so! This is a great quality product and I use it all the time!
"
3047,"
Oh my gosh! This is a must! Best 18$ I’ve spent on a camera equipment. I love how small it is where you can bring with you anywhere you go. I love how the handles have grip to mount on to any surface. I simply love it!! I will be using this almost everyday.
"
3048,"
Its versatile features enable you to attain a stable platform in almost any situation. It has a strong secure grip on almost any surface and still works well as a standard tripod. It is a bit on the heavy side.
"
3049,"
Works great.  Exactly as described.  Have had it for a few months.  Took it to Europe and used it with a gopro and Canon M50.  Worked great with both.  Highly recommend.
"
3050,"
perfect size lightweight use your rear camera or your cell phone it works wonders and it definitely comes in handy get yourself one you won't be disappointed
"
3051,"
Great for unique situations like wrapping legs around a post or a ladder.
"
3052,"
I love this! I tested it last week with my phone and it was so easy to use! I can't wait to try my new camera on it once that comes in. Would definitely recommend to any Youtuber, Vlogger, or Influencer!
"
3053,"
I have had this for a little over a week but I can see that it should do all that I expect. I had another similar tripod for a couple of years, but chose to get this one because it is a little less bulky.
"
3054,"
U absolutely love this tripod OMG I was looking for the perfect one to hold up my new canon EOS M100 and this was beyond my expectations very happy with purchase 😊☺️✨
"
3055,"
Purchased for grandson in college. He loved it!
"
3056,"
My Grandson uses it for You tube
"
3057,"




                    The media could not be loaded.
                



 Leg broke at base , really sad because this thing is awesome
"
3058,"
Easy to use
"
3059,"
Very steady and strong tripod. It work prefect with everything. My phone my action camara and my Canon M50.
"
3060,"
Excellent tripod.  Light weight and very stable.  Tried it a couple of times and I think this little tripod will last for a long time. I have iPhone 6 Plus with a heavy duty case, it can fit into this tripod without any problem.
"
3061,"
Very functional tripod, I bought it to be my secondary tripod for my last trip and I barely had to use my main tripod because this was so easy and quick to adjust. I could place it on uneven surfaces and it was holding my Canon 80D with 18-135 lens quite well.
"
3062,"
Great product
"
3063,"
Easy to use for small camera
"
3064,"
Very light weight and durable. It really worth it! I have had like 3 different ones and none compare to how good this one turned out.
"
3065,"
Have an old sony a7, work great with it. Love the legs, instead of those bumpy legs that other similar tripods have and it's super sturdy for those wrap arounds. However, tried twisting the legs together like in the pic, ended up breaking a piece off.
"
3066,"
This tripod is wonderful. It is sturdy and made of quality products. It works for vlogging.
"
3067,"
This is a pretty light, compact, and versatile little tripod. It works well, feels and is stable and can be wrapped around objects to make a stand. This can be used with both a smart phone or a DSLR camera.
"
3068,"
It's very nice but mine never came with a phone mount. I don't dona whole lot of stuff with my phone but it would've been nice if it came with it.
"
3069,"
Sturdy and holds even my heaviest of cameras. It can bend into whatever shape you need and can take a beating
"
3070,"
SUPER FLEXIBLE AND STURDY! LOVE THE BLACK AND RED COLOR AND DESIGN. ATTACHES NEARLY ANYWHERE !
"
3071,"
I got this to be able to wrap around cruise railings to capture footage.  Just got back from the cruise and loved using this while filming on the cruise.  Worked really really well!
"
3072,"
Finally able to hang my camera above my shower pointing to the rest of the room. I no longer get pranked.
"
3073,"
Just what I was looking for!
"
3074,"
I’m be only used for a few months, but I am very happy!  Will wrap around anything it can fit on and holds very well. Time will tell how long it lasts, but I have been overly pleased so far.
"
3075,"
Fantastic product, just a note to others who want to put heavy camera+lens on this, my Nikon D750 + Nikkor 16-35f4 is the most it can take.
"
3076,"
the tripod is functional as well as versatile.
"
3077,"
Very compact, feels sturdy. Easy to use but it has a good grip.I've used it on some questionable terrain and it managed to stay put.
"
3078,"
Has a nice grip on phone, used standing on table, hanging from shelf and in hand. Worked well in all cases. Also has standard camera mount.
"
3079,"
Most of the time when I’m out shooting a take a folding tripod but ever since I bought this I’ve been leaving my larger tripods at home. I shoot with a canon 77d and it’s plenty of support
"
3080,"
You’d think I’d dropped it but no, I didn’t even have it propped up on something hard. Took it out of the Amazon bag in gymnastic mats and proceeded to move the legs into a J position in order to shoot my form on a stretch and this plastic piece on the leg joint immediately snapped off. What a piece of crap! I didn’t even try to make the legs go into a U just a J shape and the thing snapped right at the joint. Sure it still works but I certainly don’t trust this tripod will hold together very long if pieces break off right out of the box.Otherwise it seems versatile enough and the legs are very flexible.
"
3081,"
I loved my first so much, I ordered a second one. I added a Joby ball head to the UFO legs and now I have the perfect mini tripod for smaller cameras.
"
3082,"
I don't expect this to last with heavy use, especially if I'm not careful with the legs. The legs may survive but the base plastic will most definitely break quickly. I would still recommend it for the price however and would caution against roughing it.
"
3083,"
Item received promptly and it worked for what i needed it for. Thank You.
"
3084,"
Boy am I glad I didnt use a fortune on a Gorillapod, this thing is awesome and sturdier than anything much more expensive, I love it and I plan on getting the other models in the series.
"
3085,"
It's really strong can't wait use my camera
"
3086,"
Works great with iPhone nice a firm!!
"
3087,"
Bought this for a mirrorless camera for travel. Something small I could pack in my bag. This isn't meant to replace those big tripods, but this is versatile. The legs bend and grip so they can be wrapped around a pole, or on an incline, or something high or low. The problem, which is serious, is that my mirrorless camera shakes on it. Even with a remote shutter you see a small shake and I have it tightened as much as I date. It’s mostly plastic.  Don’t but this if you plan to use it for anything larger than a phone. Flexibility in design unfortunately equals flexibility in the mount and shaky pics.
"
3088,"
Get's the job done exactly as it should
"
3089,"
We use this to make vlogs. It’s lightweight and easy to setup. Love it
"
3090,"
I LOVE this tripod so much I bought two! Super cool how they have an extension for your phone, I use mine with my Sony a6300 and it keeps it steady and supported!
"
3091,"
Best handheld tripod I’ve had so far! Works like a charm, the legs can bend so it can sit at any angle you’d like. Also very stable for my g7x mark 2
"
3092,"
Nice flexible tripod. Bought this for use on a vacation. Fit in my carry on nicely, and worked well at different locations for longer exposures. It wrapped around objects and held on well.
"
3093,"
Great purchase for my GoPro. I can put this on anything that has a limb or ledge and twist my camera whichever way I need to. It stays put and is solidly built.
"
3094,"
I love everything about it and the price is excellent
"
3095,"
I purchased this tripod based off a recommendation to take videos using my iPhone. So far it has been great and perfect for what I needed.
"
3096,"
Quality seems great but didn’t come with the attachments pictured to hold a phone vertically and customer service didn’t respond at all.
"
3097,"
This tripod worked great for what I needed, however one of the legs broke internally after a short time rendering it useless.  It is a great design, just not very sturdy for repeated use.
"
3098,"
Very cool device. It grips better than a GorrilaPod and is nice and light. The build quality is very nice. It’s all plastic but it feels like sturdy, quality plastics. I recommend it!
"
3099,"
Perfect for vlogging which is what i needed it for wish it was more compact but that’s okay.
"
3100,"
It is so versatile and flexible but sturdy and durable. Great product!
"
3101,"
it would be better if the clamp extends more
"
3102,"
I like the grip, easy to use. Great for extended handling and videos
"
3103,"
This is a  awesome camera mount exceeds my expectations.I use it to hold a Fx  radar chronograph  and it works flawlessly .
"
3104,"
Easy to used , small an portable.  It's perfect for my Canon M50.
"
3105,"
Use it with my Canon 5D MarkIII and even with some larger zoom lenses, it is able to hold the load. Great for the price especially!
"
3106,"
This tripod is awesome and so more comfortable than a gorilla pod, Perfect size for your backpack side pocket and great performance, I am so happy with this. 100% good
"
3107,"
This one is good, but the one with the 360-degree swivel neck is much, much better. Get this one, you'll be much happier you did (I own both):https://www.amazon.com/gp/product/B073GW4ZWM/ref=ppx_yo_dt_b_search_asin_title
"
3108,"
These hold up my phone and projector perfectly.
"
3109,"
functional and as described, would recommend.
"
3110,"
I love it and if needed i would shop again from this vendor
"
3111,"
Seems very strong it holds my Nikon d3400 with out any problems. The tripod holds its shape very well and the legs click in to place so it feels very stable
"
3112,"
The best !!!!!
"
3113,"
at first i was like.. oh no..this thing won't work.. but i was proven wrong.  so happy with this purchase
"
3114,"
But it just feels so cheap that something is bound to break. I wouldn't trust it with my high value camera but perfect for a point and shoot camera.
"
3115,"
I love it
"
3116,"
I love this product and use it almost daily for vlogging. It’s able to be attached to chairs, carts, held by hand, or stand on its own.
"
3117,"
Great product. Just what I needed.
"
3118,"
Such good quality, holds my camera anywhere! I wish it was a bit bigger, but still amazing
"
3119,"
Love using this tripod.
"
3120,"
It fits my LUMIX Fz300 perfectly! I’m loving this tripod. It also feels very safe for my camera.
"
3121,"
I love this product! Flexible, Sturdy and can be used with DSLR and iPhone camera! Love love love
"
3122,"
I like this for selfie stick and tripod use. Fits my phone
"
3123,"
Love this for our Gopro Hero 7! It is so much more sturdy than the other options in this style. Definitely recommend it!
"
3124,"
Works very well and is hardy.  Can take abuse.  It replace a different make that broke and this one is solidly made.
"
3125,"
Buen material y muy funcional...
"
3126,"
My grandson loved it
"
3127,"
It is very sturdy and actually holds my camera which has an attached  lens
"
3128,"
Better that what I expected. And a great buy for the price.
"
3129,"
This has changed my vlogging game man. I love that it has an amazing attachment for your phone as well.
"
3130,"
easily adjustable, mount just about anywhere.Solid bending legs are better than the pop-beads type tripod.Comes with small efficient smartphone clamp.Like it a lot!
"
3131,"
Gave as a gift for my lil bro, he loved it!!
"
3132,"
Only good for small cameras like go pro is not good for DSLR camera they are to heavy
"
3133,"
Just received it and tested out today while our family doing camping over the weekend , this is good product guys , high quality stuff :-)
"
3134,"
Perfect in any situation holds my dslr canon 60D and the clip holds bloggie touch and I phone. Great value
"
3135,"
Exactly what I was looking for! Works perfect for my iPhone and my large DSLR. The legs are super moldable but sturdy. I love it!
"
3136,"
Love it !! Use it for work outs or for work when i need to make how to videos .
"
3137,"
I love it soo much. I'm using it for my iPhone and my DSLR canon camera.
"
3138,"
Love it! Works great even with a heavier camera.
"
3139,"
Great tripod, flexible. Grips things well.
"
3140,"
OK, so to begin with, I did like this tripod, it is flexible and easy to set up, although I was disappointed that you can't swivel the top where you put your phone in. But anyway, the phone connector snapped up with very little pressure, I now can't use it...Having looked since, the plastic at the top is very cheap, I wouldn't recommend.
"
3141,"
The experience thus far in using this most efficient tool- how the heck did I previously get by without it?!
"
3142,"
Great for bloggers my YouTube is Life of Dionne
"
3143,"
Works as advertised
"
3144,"
very strong! I like it!
"
3145,"
Works great
"
3146,"
Versatile and lightweight perfect for my planned usage.
"
3147,"
Love this handheld tripod! So glad I bought it!
"
3148,"
I’m loving my tripod. It’s really easy to use. I use it to record my workouts and it’s so versatile!!!
"
3149,"
Amazing it's just works. It's a great stabilizer and works with camera apps that take low light photos for me.
"
3150,"
The tripod is very strong and easy to use.It fits my camera and cell phone.
"
3151,"
I bought this thing a little over a month ago, I was being cheap not trying to buy a gorillapod because of the price, I was using it for my camera, mind you my cameras not heavy, one of the legs ended up breaking on me today while shooting, it was mostly kept in my gear bag I wasn’t abusing it or anything, I feel like it would’ve lasted longer had I used it specifically for my phone... possibly
"
3152,"
Very flexible, grippy, holds its position.
"
3153,"
Love it.
"
3154,"
speedy delivery and it looks exactly as advertized. I cannot wait to start vlogging
"
3155,"
Absolutely PERFECT for my Canon SL2. Probably the best budget Tripp’s I’ve ever had.
"
3156,"
Amazing video and pictures quality:
"
3157,"
Súper bien
"
3158,"
This tripod is EVERYTHING! Do not pass it up. PURE QUALITY! I love it...
"
3159,"
exactly as described. perfect for my sony a5000
"
3160,"
Unfortunately this item broke within a week day of having it, we wanted it for our son to make home videos with on an old phone but the phone attachment was easily cracked when our youngest hit it on something.
"
3161,"
Loved this tripod!!! It’s very sturdy
"
3162,"
I use this every day! It's a perfect little tripod for vlogging cameras or phones.
"
3163,"
I use this to vlog with and it’s perfect!!
"
3164,"
My granddaughter loves it
"
3165,"
The way it bends a grips is exactly what I need. Great for my iPhones video or my GoPro's.
"
3166,"
I bought this for my son and he loves using it to take video in the outdoors.
"
3167,"
Works just like I thought it would. Perfect for cell phone video. Great product for the price
"
3168,"
I really love this tripod! The flexible legs are so awesome! Great value for the money!!
"
3169,"
Best tripod ever,very sturdy and, comfortable grip.
"
3170,"
This does exactly what a tri-pod with flexible legs should do.
"
3171,"
Amazing product
"
3172,"
So far so good, comes with a phone mount as well. I’ll update anything changes
"
3173,"
Cute and sturdy
"
3174,"
I used this on my trip to Tokyo. Smarthest gadget I could’ve taken there.
"
3175,"
I used my M50 camera which is a pretty light weight camera. I've had it for a little over 2 weeks and one leg already broke. But overall I loved how light weight it was and easy to carry around.
"
3176,"
The tripod itself has a good grip however the holding mount for The phone was terrible lasted me for a couple hours then broke
"
3177,"
finally i found a great tripod that works very well and i can use for travel
"
3178,"
We love it. Fits our camera and was made with good quality.
"
3179,"
Just used it brand new for 30min. And I’m already satisfied for what it is at this price point. Definitely and help for tool for amateur to progressing film and picture taking stuff. Will update in 3months!. (UPDATE), I’m actually disappointed with how fast my tripod broke down, after 4 weeks, I noticed a significant weak joint that move your device forward/backwards. It has become practically useless🙁
"
3180,"
Found this to be a pretty useful tool until it broke at the leg. Yes joby gorillapods can eventually loosen up but this one snapped entirely.
"
3181,"
Works pretty much as a flexible tripod should. No problems or complaints considering price.
"
3182,"
Wish it was I bit longer but great tool
"
3183,"
I don’t have any problems with that. Like it a lot
"
3184,"
Works great. Sturdy
"
3185,"
Easy to use, durable
"
3186,"
Love that I can get those hard-to-get shots!
"
3187,"
No real issues with it, it works well
"
3188,"
Very light weight and flexible.  durable plastic, great for iphones
"
3189,"
Love it!
"
3190,"
💜
"
3191,"
It’s cost effective, works as it should. What more can you ask for?
"
3192,"
Works well. No complaints.
"
3193,"
simple, convenient and easy to use and store
"
3194,"
Muy bueno
"
3195,"
Love it. Great for beginners
"
3196,"
Does the job.
"
3197,"
This has become a must have item in my backpack!
"
3198,"
Good quality
"
3199,"
It has worked great on our recent trip. Good product.
"
3200,"
Love it
"
3201,"
This little tripod was amazing at first. I used it to take photos at my pole fitness business, as it can wrap around a pole easily!However, just a few months later, 2 of the 3 legs are now hanging limp, despite nothing detrimental ever happening to it, and the entire device is useless. It can not support itself with 1 leg. I tried to fix it and you cannot without ruining the device entirely so I didn't. I read there was a warranty, but contacting both the company and Amazon has lead nowhere so far. I get no reply.
"
3202,"




                    The media could not be loaded.
                



 I was excited about this holder but disappointed to see this strange toxic looking powder that comes off the rubber everytime you touch it. See the video. I even tried cleaning this down thoroughly with a wet wipe but after it dried the same residue appeared again. There is a disturbing quality control issue going on here in China with this product.
"
3203,"
It is very flexible & convenient!
"
3204,"
Professional, well made, strong, versatile!
"
3205,"
I like handle and size of tripod for Sony A6000 Camera
"
3206,"
Holds my canon 80D perfectly
"
3207,"
Very good design and is ok in quality
"
3208,"
Does what it promises.
"
3209,"
Exactly what I wanted.
"
3210,"
Love my UFO Basic, nice durable and I love it.
"
3211,"
This is perfect item! Durable, the right size..
"
3212,"
Excellent
"
3213,"
This is a really solid product. Does the job perfectly.
"
3214,"
Bought this item for use specifically during a family vacation.  One of the legs snapped on day 5, making it no longer bendable and essentially rendering this device useless.  I may have bent it a total of 10 times to take various pictures requiring the use of this tripod prior to it breaking.  Obviously, the quality of this device leaves a lot to be desired.  Also, $20 to take 10 pictures isn't what I would consider a great value for the money.  Look elsewhere.
"
3215,"
I bought this because I thought it was 17.9 inches in length, as advertised in the product description. It's not, it's 10.5 inches in length at best. When you add the attachment piece on top, add another inch. See pics.
"
3216,"
Feels very durable!
"
3217,"
Excellent quality from this tripod. Full recommended.
"
3218,"
Alike a lot
"
3219,"
Small and convenient
"
3220,"
It's flexible and performs what I need.
"
3221,"
Great for cell phone or big camera!
"
3222,"
Works as expected. Good addition to my gear bag.
"
3223,"
good stuff
"
3224,"
Love this product
"
3225,"
I recommend definitely!
"
3226,"
Very versatile product
"
3227,"
Better than I expected and more!
"
3228,"
Absolutely Amazing!!
"
3229,"
I was happy with this product until today. One of the legs broke and my camera almost went cascading into a waterfall. Not a happy customer!! :( :( :(
"
3230,"
Works as advertised - very durable.
"
3231,"
Very nice
"
3232,"
Great vlog camera holder
"
3233,"
Great product
"
3234,"
More then happy with this product!
"
3235,"
awesome very sturdy well made cute
"
3236,"
Love this
"
3237,"
Excelente
"
3238,"
Really like this tripod
"
3239,"
Exactly as described
"
3240,"
Perfect
"
3241,"
I never leave reviews but this is wild.  I got a used and broken item.  Clearly opened box.  No quality control.  This looks like a kid put it together.
"
3242,"
Very useful, met expectations.
"
3243,"
I really like it
"
3244,"
I purchased this item because, as pictured on Amazon, it clips to a phone from the bottom.However, as the image attached shows, I was sent an item that clips over the phone.This tripod is more expensive than others, it does not come with a remote, and does not match what was being sold.
"
3245,"
Wow
"
3246,"
Good
"
3247,"
I must say the product is sturdy and the handle is just want I needed ...BUT the attachment is not what is shown in the picture! NOT GOOD<<<NOT GOOD! Why would you show a product and is it not what is shown! Dahhhhh . Not happy!
"
3248,"
I used this product a couple dozen times over the course of the last 4 months and one of the legs broke today making it non functional as a tripod. It was pretty good while it lasted but broke way too soon and for no logical reason.
"
3249,"
I received this item and when I pulled out from box and bag, a piece of the tripod was already broken. I have never used it and didn't get to return. I travel so much that it's now I'm writing a review and it's too late to return. Not the best quality.
"
3250,"
I had this tripod for 25 days and one of the bendy legs broke.  It is meant to be flexible but after bending too many times it just snapped.  25 days later, I am ordering another tripod.
"
3251,"
This product is crap. Very flimsy and the legs do not lock in place causing the tripod feature to defeat the purpose. The 1st time They delivered the product, the package was empty! Stay away
"
3252,"
This is a piece of junk.  The collar that joins the legs broke the second time I used it.
"
3253,"
Stiff
"
3254,"
It was standing and it feel and it just broke I was like wtf don’t buy please
"
3255,"
have used for only a few months and have two legs broken!!
"
3256,"
This product I received was terribly damaged.
"
3257,"
Break easy
"
3258,"
Easy to use and reliable
"
3259,"
Versatility sturdiness easy to use
"
3260,"
Great design, quality materials, and a great price and size!
"
3261,"
using it for my GoPro hero 9 best versatile tripod works for every setting from hanging on tree branches, on a rail for a boat it holds on pretty well
"
3262,"
My son bought this and he says it is ""way better than Gorilla Pod. The legs won't pop off at the joints. The phone holder is really nice.""He definitely likes it.
"
3263,"
This has been a great little tripod and very versatile. I use it with my iPhone, but also to hold LED lights when I am doing video conferencing. I like it and have recommended it to others.
"
3264,"
This works great with the attachment included for my phone and work great with my Camcorder
"
3265,"
I received this product fast and in perfect shape. Great little tripod. I created my first YouTube video with this tripod. It fits both smartphone and camera which is what I was looking for.
"
3266,"
Decent quality for the price. We only use it for our phones, so haven't seen how well it works with a full sized heavy camera. We like that it fits both our phones that are a bit larger with cases on them. (Google Pixel 2 and Samsung Galaxy 8 Edge). The clamp for the phone is not springloaded, but manually adjusted, so just make sure you phone is SECURELY CLAMPED before you prop your tripod.  (It has loosened with more use and is not as strongly clamped, but we only use it at home anyways.)  And the clamp can be screwed on two ways as shown in the picture.  The rubber grips are very fleible and grab on to odd hanging positions quite well.
"
3267,"
This is literally the best camera tripod i have ever bought I recently bought this for the GoPro Hero 5 and let me just tell this tripod works perfectly for vlogging, it’s so flexible you can mount it practically anywhere, and it’s so durable and water proof this product is amazing ⭐️⭐️⭐️⭐️⭐️.
"
3268,"
I absolutely love this tripod, I had one years ago and my dog chewed it up, but this one is much better made. I have been able to get some great photos with the flexability of this tripod. Would recommend to anyone.
"
3269,"
I was excited about this but it broke after of weeks of indoor use.
"
3270,"
I bought this to hold a small speaker. After 3 uses once leg broke off. I kept using as 2 let’s still function when gripping around something. After 2 more uses the 2nd leg broke and now this is no longer usable. Very cheaply made at the joint as it is all then plastic construction. I’m sure it’s fine if you just want a small tripod but if you plan on bending the legs around things to hold a camera or speaker this is not a good unit for you.
"
3271,"
I love this little tripod. I've used it several times, primarily for long exposure photography. It is easy to manipulate the bendy legs, and it is reliably steady when used on my mirrorless with wide angle lens. When shooting, I recommend a short shutter delay to avoid shake.My favorite feature is the light weight construction. I attach the camera, swing my strap behind my right arm and set out. The slight extra weight is unnoticeable, and I leave it on even when shooting hand held.But you can easily slip one leg in a pocket or strap to a small bag with ease.Always verify weight limitations when buying a tripod being sure to choose one with specs exceeding the weight of your camera and heaviest lens combination.I recommend this product for mirrorless cameras or cell phones.
"
3272,"
Im a small youtuber and I was looking to have something to carry my camera around to vlog with. This product is working out great for me. I feel it will last a long time. I love it.
"
3273,"
*****
"
3274,"
Sturdy and comes with holder attachment for phone.
"
3275,"
Very handy and versatile tripod! Will order again as a gift because I want my family and friends to have this
"
3276,"




                    The media could not be loaded.
                



 There’s a great grip, the sturdiness makes it easy to hold and control everything without worrying. It’s super easy to Bend and move the legs around. This product is such high quality for its price. Instead of buying a jobi I’d recommend this 10/10
"
3277,"
I like this for taking shot with my phone that I want to be a part of. Set up the shot, trip the timer, and get in front of the camera. Quite stable and easy to use.
"
3278,"
I'm pickey when it comes to camera gear. This thing is perfect for my phone, GoPro and Sony a6000. Feels like a cable, perfect blend of weight and sturdyness. I use it also to film kids at the skatepark. Its a great piece of equipment to have.
"
3279,"
I like this tripod for its versatility. Will use often.
"
3280,"
This is great for vlogging! It is really sturdy and you can bend it anyway you want
"
3281,"
Very pleased with the quality of this. The top hinge of the legs snaps in and out, and the legs are very bendable. feels like beefy construction that won't wear out any time soon. I'm also not worried about using this outside and getting the material scratched or dirty, since it isn't delicate. Very good value for the money.
"
3282,"
Bought this as a gift for my nephew who is a videographer.  He's rather rough and abusive on his equipment.  It has lasted over 2 years now. So, it's nephew approved.
"
3283,"
perfect tripod
"
3284,"
Love using this hold the camera for videos or to set up a tripod.
"
3285,"
Works on anything your trying to film from
"
3286,"
Flexible, small and sturdy. Good for travel.
"
3287,"
AMAZING FOR CANON M50 ... JUST BUY IT YOU WONT REGRET IT
"
3288,"
Highly recommend
"
3289,"
Works as advertised, lightweight great for the trails
"
3290,"
This is my second one. I used the hell out of the other one
"
3291,"
A must have for vlogs!
"
3292,"
It's sturdy and versatile. I use it for my sony camera and my phones.
"
3293,"
Works really great! I was surprised to see how well it could hold up my DSLR camera, works well as a tripod too or handheld. Very satisfied with my purchase.
"
3294,"
Purchased this item for vlogging! It’s very easy to use! I love the versatility and sturdiness. Can’t wait to start my vlogs
"
3295,"
Noticed right away that last year’s model I bought is a pinch taller. That said, this design is so much more reliable and sturdy than joby, for the legs. These legs can be bent a million times and retain 100% of their dexterity, whereas Joby units’ integrity are entirely dependent on all those plastic ball joints. I ordered this 2nd one for my phone so I can leave my GoPro on the old one 24/7.
"
3296,"
Got this for my son when he goes snowboarding. He loves it!
"
3297,"
This tripod is amazing, lightweight and stable, the legs are strong.
"
3298,"
Got this to help with videos and pictures and I love it. You can place it anywhere and have it stay!
"
3299,"
My daughter loves it!! She use it for her YouTube channel🤩
"
3300,"
Perfect
"
3301,"
You can literally put this tripod anywhere
"
3302,"
It's worth recommending
"
3303,"
It works good with my mini projector.  Its sturdy and can be molded to hook to anything.  It also has a c clamp mount for cellphones which is awesome.
"
3304,"
Es muy estable
"
3305,"
The best tripod is the one you always carry with you, and on that principle I think these may be the best travel tripods. They are not full height by any means, but they weight close to nothing and can fit in any bag. They also grab on to any rail, branches, poles that I can find in the vicinity. This fotopro holds up my mirrorless (EM1) with zoom lens no problem, all I had to do was to get a better tripod head and I have a versatile travel tripod that's good for long exposure or selfies when I travel.
"
3306,"
I love this product! It is so versatile and perfect for adjusting and getting a level platform for my phone. I hike and fish a lot and it is always hard to find a level spot on the ground. This product has completely solved that issue. It's also great because it can grasp onto things like railings and tree branches, so finding the right angle is a lot easier. Great product!
"
3307,"
Nice, sturdy, lightweight and very flexible. The legs are long enough to give good support for larger heavier smartphones.  Love the tripod. The phone adapator is a bit on the flimsy side. Plastic knurled knob stripped right away.  I upgraded the phone adaptor to one that swiveled and am very happy now
"
3308,"
Very strong and powerful. Able to carry my large camera and helps with travel photos
"
3309,"
This thing is great. Bought it for the bath cause it's waterproof and it wraps around the handle on my soap holder very well. Keeps me from looking down at my mobile but up instead.
"
